from,to
Damage Control (comics),Silver Surfer
Damage Control (comics),Klaw (Marvel Comics)
Damage Control (comics),Thunderball (comics)
Damage Control (comics),Jackal (Marvel Comics)
Damage Control (comics),Spider-Man
Damage Control (comics),She-Hulk
Damage Control (comics),Robbie Baldwin
Damage Control (comics),Nitro (comics)
Damage Control (comics),Galactus
Damage Control (comics),Songbird (comics)
Damage Control (comics),Doctor Doom
Damage Control (comics),Ant-Man
Anya Corazon,Electro (Marvel Comics)
Anya Corazon,Sleepwalker (comics)
Anya Corazon,Cloak and Dagger (comics)
Anya Corazon,Kingpin (comics)
Anya Corazon,Skin (Marvel Comics)
Anya Corazon,Feral (comics)
Anya Corazon,Hobgoblin (comics)
Anya Corazon,Invisible Woman
Anya Corazon,Ms. Marvel
Anya Corazon,Spider-Man 2099
Anya Corazon,Black Tarantula
Anya Corazon,Firebird (Marvel Comics)
Anya Corazon,Kraven the Hunter
Anya Corazon,Grim Hunter
Anya Corazon,Shroud (comics)
Anya Corazon,Cecilia Reyes
Anya Corazon,Carol Danvers
Anya Corazon,Phil Urich
Anya Corazon,Puppet Master (Marvel Comics)
Anya Corazon,Madame Web
Anya Corazon,Living Lightning
Anya Corazon,Reptil
Anya Corazon,Mister Fantastic
Anya Corazon,Jackal (Marvel Comics)
Anya Corazon,Silverclaw
Anya Corazon,Max Modell
Anya Corazon,Spider-Ham
Anya Corazon,Hydro-Man
Anya Corazon,Spider-Man
Anya Corazon,Darkhawk
Anya Corazon,Amadeus Cho
Anya Corazon,Power Man (Victor Alvarez)
Anya Corazon,Wonder Man
Anya Corazon,El Aguila
Anya Corazon,Rictor
Anya Corazon,Spider-Girl (Mayday Parker)
Anya Corazon,Arcade (Marvel Comics)
Anya Corazon,Tigra
Anya Corazon,Terror Inc.
Anya Corazon,Kaine Parker
Anya Corazon,Gravity (comics)
Anya Corazon,Machine Man
D'Spayre,Doctor Strange
D'Spayre,Cloak and Dagger (comics)
D'Spayre,Dweller-in-Darkness
D'Spayre,Betty Ross
D'Spayre,Dakimh the Enchanter
D'Spayre,Clea
D'Spayre,Cyclops (Marvel Comics)
D'Spayre,Nightcrawler (comics)
D'Spayre,Scarlet Spider
D'Spayre,Amanda Sefton
D'Spayre,Jennifer Kale
D'Spayre,Mayhem (comics)
D'Spayre,Echo (Marvel Comics)
D'Spayre,Jean Grey
D'Spayre,Straw Man (comics)
D'Spayre,Nightmare (Marvel Comics)
D'Spayre,Spider-Man
D'Spayre,Man-Thing
D'Spayre,Juggernaut (comics)
D'Spayre,Lee Forrester
Maya Hansen,Aldrich Killian
Maya Hansen,Pepper Potts
Azazel (Marvel Comics),Riptide (comics)
Azazel (Marvel Comics),Bolivar Trask
Azazel (Marvel Comics),Emma Frost
Azazel (Marvel Comics),Magneto (Marvel Comics)
Azazel (Marvel Comics),Angel Salvadore
Azazel (Marvel Comics),Kiwi Black
Azazel (Marvel Comics),Sebastian Shaw (comics)
Star Brand,Phil Coulson
Star Brand,Silver Surfer
Star Brand,Doctor Spectrum
Star Brand,Deathlok
Star Brand,Quasar (comics)
Star Brand,Captain Universe
Star Brand,Nightmask
Star Brand,Groot
Star Brand,Ex Nihilo (comics)
Star Brand,Proteus (Marvel Comics)
Star Brand,Odin (comics)
Star Brand,Echo (Marvel Comics)
Star Brand,Rocket Raccoon
Star Brand,Living Tribunal
Star Brand,Ereshkigal (Marvel Comics)
Star Brand,Power Princess
Star Brand,DP 7
Star Brand,Stranger (comics)
Timeslip (comics),She-Hulk
Timeslip (comics),Robbie Baldwin
Chris Bradley,Kestrel (Marvel Comics)
Chris Bradley,Beast (comics)
Chris Bradley,Gene Nation
Chris Bradley,Bastion (comics)
Chris Bradley,Professor X
Chris Bradley,William Stryker
Chris Bradley,Cable (comics)
Chris Bradley,Jean Grey
Chris Bradley,Selene (comics)
Chris Bradley,Blob (comics)
Chris Bradley,Gambit (Marvel Comics)
Chris Bradley,Deadpool
Chris Bradley,David North (comics)
Chris Bradley,Marrow (comics)
Chris Bradley,Sabretooth (comics)
Druig,Makkari (comics)
Druig,Ikaris
Druig,Sersi
Micromax,Kylun
Micromax,Brain Drain (comics)
Micromax,Shatterstar
Micromax,Sabra (comics)
Micromax,Kang the Conqueror
Micromax,Kitty Pryde
Micromax,Nightcrawler (comics)
Micromax,Hood (comics)
Micromax,Aurora (comics)
Scarlet Spider,Lady Octopus
Scarlet Spider,Flash Thompson
Scarlet Spider,Kaine Parker
Scarlet Spider,Jackal (Marvel Comics character)
Scarlet Spider,Spider-Girl (Mayday Parker)
Scarlet Spider,Black Cat (Marvel Comics)
Scarlet Spider,Spider-Man
Scarlet Spider,Ben Reilly
Sentinel (comics),Thunderbird (John Proudstar)
Sentinel (comics),Red Skull
Sentinel (comics),Henry Peter Gyrich
Sentinel (comics),Mystique (comics)
Sentinel (comics),Crimson Dynamo
Sentinel (comics),Colossus (comics)
Sentinel (comics),Kestrel (Marvel Comics)
Sentinel (comics),Juston Seyfert
Sentinel (comics),Captain Universe
Sentinel (comics),Fantomex
Sentinel (comics),Magneto (Marvel Comics)
Sentinel (comics),Mutant Liberation Front
Sentinel (comics),Fenris (comics)
Sentinel (comics),Kang the Conqueror
Sentinel (comics),Cyclops (Marvel Comics)
Sentinel (comics),Nightcrawler (comics)
Sentinel (comics),Cannonball (comics)
Sentinel (comics),Apocalypse (comics)
Sentinel (comics),Shroud (comics)
Sentinel (comics),Sebastian Shaw (comics)
Sentinel (comics),Deadpool
Sentinel (comics),Karima Shapandar
Sentinel (comics),Spider-Slayer
Sentinel (comics),Mendel Stromm
Sentinel (comics),Ultron
Sentinel (comics),Storm (Marvel Comics)
Sentinel (comics),Beast (comics)
Sentinel (comics),Bolivar Trask
Sentinel (comics),Nimrod (comics)
Sentinel (comics),Spider-Man
Sentinel (comics),Master Mold
Sentinel (comics),Robert Kelly (comics)
Sentinel (comics),Steven Lang (comics)
Sentinel (comics),Malcolm Colcord
Sentinel (comics),Jubilee (comics)
Sentinel (comics),Galactus
Sentinel (comics),Bastion (comics)
Sentinel (comics),Professor X
Sentinel (comics),Juggernaut (comics)
Sentinel (comics),William Stryker
Sentinel (comics),Kitty Pryde
Sentinel (comics),Arcade (Marvel Comics)
Sentinel (comics),Stepford Cuckoos
Sentinel (comics),Cassandra Nova
Sentinel (comics),Machine Man
Rocket Raccoon,Ch'od
Rocket Raccoon,Star Thief
Rocket Raccoon,Korvac
Rocket Raccoon,Conan (Marvel Comics)
Rocket Raccoon,Groot
Rocket Raccoon,Star-Lord
Rocket Raccoon,Vance Astro
Rocket Raccoon,Vulcan (Marvel Comics)
Rocket Raccoon,Hercules (Marvel Comics)
Rocket Raccoon,Ronan the Accuser
Rocket Raccoon,Spider-Man
Rocket Raccoon,She-Hulk
Rocket Raccoon,Stranger (comics)
Super-Skrull,Doctor Strange
Super-Skrull,Dormammu
Super-Skrull,Luke Cage
Super-Skrull,Daredevil (Marvel Comics character)
Super-Skrull,Beta Ray Bill
Super-Skrull,Wyatt Wingfoot
Super-Skrull,Thing (comics)
Super-Skrull,Quicksilver (comics)
Super-Skrull,Invisible Woman
Super-Skrull,Crimson Dynamo
Super-Skrull,Ms. Marvel
Super-Skrull,Sasquatch (comics)
Super-Skrull,Hood (comics)
Super-Skrull,Franklin Richards (Fantastic Four)
Super-Skrull,Franklin Storm
Super-Skrull,Master Khan
Super-Skrull,Crusader (Marvel Comics)
Super-Skrull,War Machine
Super-Skrull,Dazzler (Marvel Comics)
Super-Skrull,Cyclops (Marvel Comics)
Super-Skrull,Rogue (comics)
Super-Skrull,Iceman (Marvel Comics)
Super-Skrull,Skrullian Skymaster
Super-Skrull,Titania (Marvel Comics)
Super-Skrull,Carol Danvers
Super-Skrull,Silver Surfer
Super-Skrull,Ultron
Super-Skrull,Storm (Marvel Comics)
Super-Skrull,Volcana (Marvel Comics)
Super-Skrull,Echo (Marvel Comics)
Super-Skrull,Xavin
Super-Skrull,Iron Fist (comics)
Super-Skrull,Ronan the Accuser
Super-Skrull,Spider-Man
Super-Skrull,Amadeus Cho
Super-Skrull,Annihilus
Super-Skrull,Galactus
Super-Skrull,Thundra
Super-Skrull,Thor (Marvel Comics)
Super-Skrull,Doctor Doom
Super-Skrull,Jazinda
Super-Skrull,Hulkling
Martha Connors,Lizard (comics)
Martha Connors,Carrion (comics)
Martha Connors,Billy Connors (comics)
Martha Connors,Silvermane
Martha Connors,Jackal (Marvel Comics character)
Martha Connors,Spider-Man
Martha Connors,Ben Reilly
Jack of Hearts (Marvel Comics),Midas (comics)
Jack of Hearts (Marvel Comics),Kismet (Marvel Comics)
Jack of Hearts (Marvel Comics),Nebula (comics)
Jack of Hearts (Marvel Comics),Ego the Living Planet
Jack of Hearts (Marvel Comics),Thing (comics)
Jack of Hearts (Marvel Comics),Sons of the Tiger
Jack of Hearts (Marvel Comics),Rom (comics)
Jack of Hearts (Marvel Comics),Kang the Conqueror
Jack of Hearts (Marvel Comics),Henry Pym
Jack of Hearts (Marvel Comics),Stranger (comics)
Jack of Hearts (Marvel Comics),Silver Surfer
Jack of Hearts (Marvel Comics),Quasar (comics)
Jack of Hearts (Marvel Comics),Battlestar (comics)
Jack of Hearts (Marvel Comics),Wraith (Brian DeWolff)
Jack of Hearts (Marvel Comics),Spider-Man
Jack of Hearts (Marvel Comics),Supreme Intelligence
Jack of Hearts (Marvel Comics),Jasper Sitwell
Jack of Hearts (Marvel Comics),Jean DeWolff
Jack of Hearts (Marvel Comics),Machinesmith
Jack of Hearts (Marvel Comics),Moondragon
Jack of Hearts (Marvel Comics),Iron Lad
Jack of Hearts (Marvel Comics),Red Skull
Rebecca Banner,Brian Banner
Kestrel (Marvel Comics),Omega Red
Kestrel (Marvel Comics),Mystique (comics)
Kestrel (Marvel Comics),Abraham Cornelius
Kestrel (Marvel Comics),Colossus (comics)
Kestrel (Marvel Comics),Northstar (Marvel Comics)
Kestrel (Marvel Comics),Chris Bradley
Kestrel (Marvel Comics),Magneto (Marvel Comics)
Kestrel (Marvel Comics),Rogue (comics)
Kestrel (Marvel Comics),Nightcrawler (comics)
Kestrel (Marvel Comics),Cyclops (Marvel Comics)
Kestrel (Marvel Comics),Deadpool
Kestrel (Marvel Comics),Sentinel (comics)
Kestrel (Marvel Comics),Sabretooth (comics)
Kestrel (Marvel Comics),Storm (Marvel Comics)
Kestrel (Marvel Comics),Silver Fox (comics)
Kestrel (Marvel Comics),Beast (comics)
Kestrel (Marvel Comics),Jean Grey
Kestrel (Marvel Comics),Guardian (Marvel Comics)
Kestrel (Marvel Comics),Professor Thorton
Kestrel (Marvel Comics),Malcolm Colcord
Kestrel (Marvel Comics),Professor X
Kestrel (Marvel Comics),Juggernaut (comics)
Kestrel (Marvel Comics),William Stryker
Kestrel (Marvel Comics),Gambit (Marvel Comics)
Kestrel (Marvel Comics),David North (comics)
Kestrel (Marvel Comics),Blob (comics)
Femizons#Members,Absorbing Man
Femizons#Members,Thing (comics)
Femizons#Members,Black Mamba (comics)
Femizons#Members,Arclight (comics)
Femizons#Members,Whiteout (Marvel Comics)
Femizons#Members,Anaconda (comics)
Femizons#Members,Steel Wind
Femizons#Members,Pink Pearl (comics)
Femizons#Members,Titania (Marvel Comics)
Femizons#Members,Princess Python
Femizons#Members,Carol Danvers
Femizons#Members,Marauders (comics)
Femizons#Members,Blazing Skull
Femizons#Members,Mole Man
Femizons#Members,Nightshade (Marvel Comics)
Femizons#Members,U-Foes#Vapor
Femizons#Members,Skein (comics)
Femizons#Members,Asp (comics)
Femizons#Members,Ghost Rider
Femizons#Members,Karla Sofen
Femizons#Members,Leader (comics)
Femizons#Members,Gladiatrix (comics)
Femizons#Members,Songbird (comics)
Femizons#Members,MODOK
Femizons#Members,Thundra
Femizons#Members,Snapdragon (comics)
Femizons#Members,Vertigo (Marvel Comics)
Femizons#Members,Superia
Dazzler (Marvel Comics),Rhino (comics)
Dazzler (Marvel Comics),Trance (comics)
Dazzler (Marvel Comics),Nico Minoru
Dazzler (Marvel Comics),Enchantress (Marvel Comics)
Dazzler (Marvel Comics),Absorbing Man
Dazzler (Marvel Comics),Molly Hayes
Dazzler (Marvel Comics),Mojo (comics)
Dazzler (Marvel Comics),Mystique (comics)
Dazzler (Marvel Comics),Elsa Bloodstone
Dazzler (Marvel Comics),Cable (comics)
Dazzler (Marvel Comics),Colossus (comics)
Dazzler (Marvel Comics),Northstar (Marvel Comics)
Dazzler (Marvel Comics),Caliban (comics)
Dazzler (Marvel Comics),Namorita
Dazzler (Marvel Comics),Lady Deathstrike
Dazzler (Marvel Comics),Shatterstar
Dazzler (Marvel Comics),Magneto (Marvel Comics)
Dazzler (Marvel Comics),Pixie (X-Men)
Dazzler (Marvel Comics),Gambit (Marvel Comics)
Dazzler (Marvel Comics),Malice (comics)
Dazzler (Marvel Comics),Rogue (comics)
Dazzler (Marvel Comics),Nightcrawler (comics)
Dazzler (Marvel Comics),Cannonball (comics)
Dazzler (Marvel Comics),Lightmaster
Dazzler (Marvel Comics),Black Bolt
Dazzler (Marvel Comics),Cyclops (Marvel Comics)
Dazzler (Marvel Comics),Carol Danvers
Dazzler (Marvel Comics),Deadpool
Dazzler (Marvel Comics),Karma (comics)
Dazzler (Marvel Comics),Apocalypse (comics)
Dazzler (Marvel Comics),Sentinel (comics)
Dazzler (Marvel Comics),Storm (Marvel Comics)
Dazzler (Marvel Comics),Blue Shield (comics)
Dazzler (Marvel Comics),Anole (comics)
Dazzler (Marvel Comics),Beast (comics)
Dazzler (Marvel Comics),Betsy Braddock
Dazzler (Marvel Comics),Emma Frost
Dazzler (Marvel Comics),Magik (comics)
Dazzler (Marvel Comics),Moon Knight
Dazzler (Marvel Comics),Lifeguard (comics)
Dazzler (Marvel Comics),Death (Marvel Comics)
Dazzler (Marvel Comics),Terrax
Dazzler (Marvel Comics),Jean Grey
Dazzler (Marvel Comics),Lois London
Dazzler (Marvel Comics),Wasp (comics)
Dazzler (Marvel Comics),Nightmare (Marvel Comics)
Dazzler (Marvel Comics),Spider-Man
Dazzler (Marvel Comics),Mister Sinister
Dazzler (Marvel Comics),Maria Hill
Dazzler (Marvel Comics),She-Hulk
Dazzler (Marvel Comics),Sage (comics)
Dazzler (Marvel Comics),Captain Britain
Dazzler (Marvel Comics),Medusa (comics)
Dazzler (Marvel Comics),Donald Pierce
Dazzler (Marvel Comics),Galactus
Dazzler (Marvel Comics),Professor X
Dazzler (Marvel Comics),Howard the Duck
Dazzler (Marvel Comics),MODOK
Dazzler (Marvel Comics),Exodus (comics)
Dazzler (Marvel Comics),Juggernaut (comics)
Dazzler (Marvel Comics),Rictor
Dazzler (Marvel Comics),Longshot (Marvel Comics)
Dazzler (Marvel Comics),Doctor Doom
Dazzler (Marvel Comics),Kitty Pryde
Dazzler (Marvel Comics),Strong Guy
Dazzler (Marvel Comics),Mephisto (comics)
Dazzler (Marvel Comics),Namora
Dazzler (Marvel Comics),Hit-Monkey
Dazzler (Marvel Comics),Cassandra Nova
Black Cat (Marvel Comics),Puma (comics)
Black Cat (Marvel Comics),Doctor Strange
Black Cat (Marvel Comics),Ezekiel (comics)
Black Cat (Marvel Comics),Luke Cage
Black Cat (Marvel Comics),Cloak and Dagger (comics)
Black Cat (Marvel Comics),Lizard (comics)
Black Cat (Marvel Comics),Felicity Hardy
Black Cat (Marvel Comics),Daredevil (Marvel Comics character)
Black Cat (Marvel Comics),Kingpin (comics)
Black Cat (Marvel Comics),Ringer (comics)
Black Cat (Marvel Comics),Hobgoblin (comics)
Black Cat (Marvel Comics),Killer Shrike
Black Cat (Marvel Comics),Blade (character)
Black Cat (Marvel Comics),Silk (comics)
Black Cat (Marvel Comics),Hammerhead (comics)
Black Cat (Marvel Comics),Spider-Man 2099
Black Cat (Marvel Comics),Liz Allan
Black Cat (Marvel Comics),Jack O'Lantern (Marvel Comics)
Black Cat (Marvel Comics),Brother Voodoo
Black Cat (Marvel Comics),Eel (comics)
Black Cat (Marvel Comics),Tinkerer (Marvel Comics)
Black Cat (Marvel Comics),Black Bolt
Black Cat (Marvel Comics),Spencer Smythe
Black Cat (Marvel Comics),Deadpool
Black Cat (Marvel Comics),Vanisher
Black Cat (Marvel Comics),Phil Urich
Black Cat (Marvel Comics),Firestar (Marvel Comics)
Black Cat (Marvel Comics),Sabretooth (comics)
Black Cat (Marvel Comics),Spot (comics)
Black Cat (Marvel Comics),"Morbius, the Living Vampire"
Black Cat (Marvel Comics),Mister Negative
Black Cat (Marvel Comics),Crime Master
Black Cat (Marvel Comics),Madame Masque
Black Cat (Marvel Comics),Owl (Marvel Comics)
Black Cat (Marvel Comics),Paladin (comics)
Black Cat (Marvel Comics),Gladiator (Melvin Potter)
Black Cat (Marvel Comics),Ghost (Marvel Comics)
Black Cat (Marvel Comics),Mister Fantastic
Black Cat (Marvel Comics),Sandman (Marvel Comics)
Black Cat (Marvel Comics),Human Fly (comics)
Black Cat (Marvel Comics),Spider-Man
Black Cat (Marvel Comics),Hydro-Man
Black Cat (Marvel Comics),Dexter Bennett
Black Cat (Marvel Comics),Fancy Dan
Black Cat (Marvel Comics),Misty Knight
Black Cat (Marvel Comics),Beyonder
Black Cat (Marvel Comics),Boomerang (comics)
Black Cat (Marvel Comics),Morlun
Black Cat (Marvel Comics),Catwoman
Black Cat (Marvel Comics),Flash Thompson
Black Cat (Marvel Comics),Foreigner (comics)
Black Cat (Marvel Comics),Gwenpool
Black Cat (Marvel Comics),Thor (Marvel Comics)
Black Cat (Marvel Comics),Howard the Duck
Black Cat (Marvel Comics),Silver Sable
Black Cat (Marvel Comics),Doctor Doom
Black Cat (Marvel Comics),Patsy Walker
Black Cat (Marvel Comics),Alistair Smythe
Black Cat (Marvel Comics),Bullseye (comics)
Black Cat (Marvel Comics),Mysterio
Black Cat (Marvel Comics),Melter
Black Cat (Marvel Comics),Venom (Marvel Comics character)
Black Cat (Marvel Comics),Red Skull
Black Cat (Marvel Comics),Doctor Octopus
Black Tom Cassidy,Rusty Collins
Black Tom Cassidy,Gideon (comics)
Black Tom Cassidy,Black Box (comics)
Black Tom Cassidy,Cyttorak
Black Tom Cassidy,Juggernaut (comics)
Black Tom Cassidy,Sunspot (comics)
Black Tom Cassidy,Siryn
Black Tom Cassidy,Cable (comics)
Black Tom Cassidy,Fenris (comics)
Black Tom Cassidy,Genesis (Marvel Comics)
Black Tom Cassidy,Xorn
Black Tom Cassidy,Arcade (Marvel Comics)
Black Tom Cassidy,Krakoa
Black Tom Cassidy,Spider-Man
Black Tom Cassidy,Deadpool
Black Tom Cassidy,Madame Web
Black Tom Cassidy,Sentinel (comics)
Thunderer (Marvel Comics),Spirit of '76 (Marvel Comics)
Thunderer (Marvel Comics),Miss America (Madeline Joyce)
Thunderer (Marvel Comics),Enclave (comics)
Thunderer (Marvel Comics),Black Marvel
Thunderer (Marvel Comics),Spider-Man
Thunderer (Marvel Comics),Red Skull
Frenchie (comics),Bushman (comics)
Frenchie (comics),Moon Knight
Frenchie (comics),Werewolf by Night
Ocean (Marvel Comics),X-Statix
Frankenstein's Monster (Marvel Comics),Dormammu
Frankenstein's Monster (Marvel Comics),Bucky (Marvel Comics)
Frankenstein's Monster (Marvel Comics),Elsa Bloodstone
Frankenstein's Monster (Marvel Comics),Dracula (Marvel Comics)
Frankenstein's Monster (Marvel Comics),Nighthawk (Marvel Comics)
Frankenstein's Monster (Marvel Comics),Merlin (Marvel Comics)
Frankenstein's Monster (Marvel Comics),Phil Coulson
Frankenstein's Monster (Marvel Comics),"N'Kantu, the Living Mummy"
Frankenstein's Monster (Marvel Comics),Gorilla-Man
Frankenstein's Monster (Marvel Comics),Human Torch (android)
Frankenstein's Monster (Marvel Comics),Kang the Conqueror
Frankenstein's Monster (Marvel Comics),Werewolf by Night
Frankenstein's Monster (Marvel Comics),Frankenstein (DC Comics)
Frankenstein's Monster (Marvel Comics),Mole Man
Frankenstein's Monster (Marvel Comics),Toro (comics)
Frankenstein's Monster (Marvel Comics),Spider-Man
Frankenstein's Monster (Marvel Comics),She-Hulk
Frankenstein's Monster (Marvel Comics),John Jameson (comics)
Frankenstein's Monster (Marvel Comics),Supreme Intelligence
Frankenstein's Monster (Marvel Comics),Ulysses Bloodstone
Frankenstein's Monster (Marvel Comics),Blonde Phantom
Frankenstein's Monster (Marvel Comics),Man-Thing
Frankenstein's Monster (Marvel Comics),Howard the Duck
Frankenstein's Monster (Marvel Comics),Warwolf (Marvel Comics)
Frankenstein's Monster (Marvel Comics),Bucky Barnes
Frankenstein's Monster (Marvel Comics),Psycho-Man
Frankenstein's Monster (Marvel Comics),Dreadknight
Hermes (Marvel Comics),Apollo (Marvel Comics)
Hermes (Marvel Comics),Zeus (Marvel Comics)
Hermes (Marvel Comics),Makkari (comics)
Hermes (Marvel Comics),Venus (Marvel Comics)
Hermes (Marvel Comics),Thor (Marvel Comics)
Hermes (Marvel Comics),Amatsu-Mikaboshi (comics)
Hermes (Marvel Comics),Hercules (Marvel Comics)
Arno Stark,Maria Stark
Arno Stark,Dormammu
Arno Stark,Ultron
Arno Stark,Kingpin (comics)
Arno Stark,Sunset Bain
Arno Stark,Iron Man 2020
Arno Stark,Mandarin (comics)
Arno Stark,Jocasta (comics)
Arno Stark,Howard Stark
Arno Stark,Rumiko Fujikawa
Arno Stark,Wasp (comics)
Arno Stark,Carol Danvers
Arno Stark,Morgan Stark
Arno Stark,Red Skull
Arno Stark,Machine Man
Doctor Strange,Dormammu
Doctor Strange,Luke Cage
Doctor Strange,Dweller-in-Darkness
Doctor Strange,Cloak and Dagger (comics)
Doctor Strange,Mindless Ones
Doctor Strange,Cyttorak
Doctor Strange,Enchantress (Marvel Comics)
